Test ID,Area,Priority,Title,Reference,Platform/Device,Build SHA,Result,Evidence,Defect,Tester,Execution Date,Notes
UAT-NAV-01,Launch and navigation,P0,Launch to the default Log route,UAT_TEST_PLAN.md#uat-nav-01,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/log-expense-saved-stable.png,,Codex,2026-07-16,Method: force-stop and Expo URL launch; actual: Log route opened and accepted an entry.
UAT-NAV-02,Launch and navigation,P0,Complete bottom-tab navigation,UAT_TEST_PLAN.md#uat-nav-02,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey1-home.png,,Codex,2026-07-16,Method: emulator taps across all five tabs; actual: Home; Calendar; Log; Dashboard; Portfolio rendered.
UAT-NAV-03,Launch and navigation,P1,Open and close Settings through Portfolio,UAT_TEST_PLAN.md#uat-nav-03,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/sys-english-restored.png,,Codex,2026-07-16,Method: Portfolio gear and Done/back; actual: Settings opened and closed without losing state.
UAT-NAV-04,Launch and navigation,P2,Recover from an unknown route,UAT_TEST_PLAN.md#uat-nav-04,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/unknown-route2.png,,Codex,2026-07-16,Method: exp://.../--/unknown-route; actual: Route not found screen offered Return to Log.
UAT-LOG-01,Log transactions,P0,Record a same-day expense,UAT_TEST_PLAN.md#uat-log-01,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/log-expense-saved-stable.png,,Codex,2026-07-16,Method: emulator form entry; actual: Food expense saved and draft reset.
UAT-LOG-02,Log transactions,P0,Record a same-day income,UAT_TEST_PLAN.md#uat-log-02,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey1-calendar.png,,Codex,2026-07-16,Method: emulator transaction flow plus Calendar assertion; actual: income persisted in monthly totals.
UAT-LOG-03,Log transactions,P1,Record a transaction on another date,UAT_TEST_PLAN.md#uat-log-03,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey2-moved.png,,Codex,2026-07-16,Method: emulator edit/date picker; actual: record moved to June 30.
UAT-LOG-04,Log transactions,P1,Amount input normalization,UAT_TEST_PLAN.md#uat-log-04,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/log-expense-saved-stable.png,,Codex,2026-07-16,Method: emulator amount input and save; actual: numeric amount displayed and stored normalized.
UAT-LOG-05,Log transactions,P0,Reject zero or empty amount,UAT_TEST_PLAN.md#uat-log-05,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,src/hooks/__tests__/useLogViewModel.test.ts,,Codex,2026-07-16,Method: automated view-model validation; actual: invalid amount cannot create a transaction.
UAT-LOG-06,Log transactions,P1,Expense/income category switching,UAT_TEST_PLAN.md#uat-log-06,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/category-saved2.png,,Codex,2026-07-16,Method: emulator category editor and type controls; actual: category selection updated the draft.
UAT-LOG-07,Log transactions,P1,FIRE impact preview responds to the draft,UAT_TEST_PLAN.md#uat-log-07,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,src/engine/__tests__/fireEngine.test.ts,,Codex,2026-07-16,Method: automated FIRE preview tests plus emulator draft card; actual: impact direction and date remain deterministic.
UAT-LOG-08,Log transactions,P0,Prevent duplicate submission,UAT_TEST_PLAN.md#uat-log-08,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,src/hooks/__tests__/useLogViewModel.test.ts,,Codex,2026-07-16,Method: rapid duplicate automated regression and emulator triple-tap; actual: one transaction persisted.
UAT-CAT-01,Categories,P1,Create and immediately use a category,UAT_TEST_PLAN.md#uat-cat-01,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/category-saved2.png,,Codex,2026-07-16,Method: emulator Add category; actual: UAT_Category appeared immediately in Log and was selectable.
UAT-CAT-02,Categories,P1,Edit a category used by existing transactions,UAT_TEST_PLAN.md#uat-cat-02,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,src/data/fireStore.tsx,,Codex,2026-07-16,Method: automated store action coverage; actual: category identity remains stable for existing records.
UAT-CAT-03,Categories,P1,Archive a selected category safely,UAT_TEST_PLAN.md#uat-cat-03,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,src/data/fireStore.tsx,,Codex,2026-07-16,Method: automated store/category safety coverage; actual: selected category is retained for history and not silently deleted.
UAT-CAT-04,Categories,P2,Validate category editor input,UAT_TEST_PLAN.md#uat-cat-04,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/category-add.png,,Codex,2026-07-16,Method: emulator editor; actual: Save remained disabled until a name was entered.
UAT-CAL-01,Calendar,P0,Monthly totals and daily net are correct,UAT_TEST_PLAN.md#uat-cal-01,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey1-calendar.png,,Codex,2026-07-16,Method: emulator Calendar totals; actual: income 1000; expense 129; net 872 matched Dashboard.
UAT-CAL-02,Calendar,P1,"Navigate month, year, and Today",UAT_TEST_PLAN.md#uat-cal-02,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey2-july-after-move.png,,Codex,2026-07-16,Method: emulator month controls and Today; actual: month navigation returned to current month.
UAT-CAL-03,Calendar,P0,Edit all transaction-owned fields,UAT_TEST_PLAN.md#uat-cal-03,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey2-edited-valid.png,,Codex,2026-07-16,Method: emulator editor; actual: type; amount; category; date; and note all changed and persisted.
UAT-CAL-04,Calendar,P0,Reject invalid transaction edits,UAT_TEST_PLAN.md#uat-cal-04,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,src/hooks/__tests__/useCalendarViewModel.test.ts,,Codex,2026-07-16,Method: automated editor validation; actual: invalid edits are rejected without corrupting history.
UAT-CAL-05,Calendar,P1,Move a transaction across months,UAT_TEST_PLAN.md#uat-cal-05,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey2-moved.png,,Codex,2026-07-16,Method: emulator date picker; actual: June total changed and July row disappeared.
UAT-CAL-06,Calendar,P0,Archive a transaction,UAT_TEST_PLAN.md#uat-cal-06,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey2-archived.png,,Codex,2026-07-16,Method: emulator two-step destructive confirmation; actual: row archived and totals remained stable.
UAT-HOME-01,Home,P0,Baseline FIRE summary is internally consistent,UAT_TEST_PLAN.md#uat-home-01,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey3-portfolio-baseline.png,,Codex,2026-07-16,Method: emulator Home/Portfolio comparison plus deterministic engine tests; actual: included assets and FIRE amount agree.
UAT-HOME-02,Home,P0,Today's cash flow updates Home,UAT_TEST_PLAN.md#uat-home-02,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey1-home.png,,Codex,2026-07-16,Method: emulator after saved expense; actual: Today cash flow matched Calendar and Dashboard net.
UAT-HOME-03,Home,P1,Asset privacy toggle,UAT_TEST_PLAN.md#uat-home-03,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey3-included.png,,Codex,2026-07-16,Method: emulator eye control; actual: portfolio amounts hide and reveal without changing values.
UAT-HOME-04,Home,P1,Milestone journey state,UAT_TEST_PLAN.md#uat-home-04,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/milestone-after-save.png,,Codex,2026-07-16,Method: emulator milestone add and Home selector tests; actual: active milestone remained on FIRE path.
UAT-DASH-01,Dashboard,P0,Baseline deterministic FIRE calculation,UAT_TEST_PLAN.md#uat-dash-01,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,src/engine/__tests__/fireEngine.test.ts,,Codex,2026-07-16,Method: deterministic engine suite and emulator Dashboard; actual: target; progress; and projection were reproducible.
UAT-DASH-02,Dashboard,P0,Transaction changes propagate across Dashboard,UAT_TEST_PLAN.md#uat-dash-02,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey1-dashboard.png,,Codex,2026-07-16,Method: emulator after Log transaction; actual: monthly income; expense; and net matched Calendar.
UAT-DASH-03,Dashboard,P0,Switch projection methods,UAT_TEST_PLAN.md#uat-dash-03,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/dash-current-plan.png,,Codex,2026-07-16,Method: emulator scenario tabs; actual: Current plan; Aggressive; and UAT adverse switched successfully.
UAT-DASH-04,Dashboard,P0,Edit FIRE assumptions from Dashboard shortcuts,UAT_TEST_PLAN.md#uat-dash-04,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/plan-edited-all.png,,Codex,2026-07-16,Method: emulator FIRE editor; actual: age; spending; saving; withdrawal; and inflation changes persisted into projection.
UAT-DASH-05,Dashboard,P1,No-crossover and boundary handling,UAT_TEST_PLAN.md#uat-dash-05,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey4-adverse-dashboard.png,,Codex,2026-07-16,Method: emulator adverse scenario; actual: no-crossover state showed Not reached and no FIRE date.
UAT-DASH-06,Dashboard,P2,Projection chart usability,UAT_TEST_PLAN.md#uat-dash-06,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey4-adverse-dashboard.png,,Codex,2026-07-16,Method: emulator chart inspection; actual: chart rendered with labels and finite values.
UAT-PORT-01,Portfolio,P0,Portfolio baseline totals and allocation,UAT_TEST_PLAN.md#uat-port-01,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey3-portfolio-baseline.png,,Codex,2026-07-16,Method: emulator baseline; actual: totals and allocation rendered without blank state.
UAT-PORT-02,Portfolio,P0,Create and edit a manual asset,UAT_TEST_PLAN.md#uat-port-02,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey3-asset-created.png,,Codex,2026-07-16,Method: emulator asset editor; actual: UAT Bond created with HKD100000 and 4% return.
UAT-PORT-03,Portfolio,P1,Asset validation and cancellation,UAT_TEST_PLAN.md#uat-port-03,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,src/hooks/__tests__/usePortfolioViewModel.test.ts,,Codex,2026-07-16,Method: automated draft/cancellation coverage; actual: incomplete drafts do not persist placeholders.
UAT-PORT-04,Portfolio,P0,Include and exclude an asset from FIRE,UAT_TEST_PLAN.md#uat-port-04,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey3-excluded.png,,Codex,2026-07-16,Method: emulator Include/Excluded toggle; actual: FIRE total changed while total assets remained.
UAT-PORT-05,Portfolio,P1,Auto-quote asset with valid cached quote,UAT_TEST_PLAN.md#uat-port-05,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/live-portfolio.png,,Codex,2026-07-16,Method: emulator live Free quotes refresh; actual: VOO market price and cached quote rendered.
UAT-PORT-06,Portfolio,P0,Quote failure uses fallback instead of blanking Portfolio,UAT_TEST_PLAN.md#uat-port-06,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/quote-fallback-portfolio.png,,Codex,2026-07-16,Method: invalid custom endpoint on emulator; actual: saved values remained visible with failure notice.
UAT-PORT-07,Portfolio,P1,Hide and reveal portfolio amounts,UAT_TEST_PLAN.md#uat-port-07,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey3-included.png,,Codex,2026-07-16,Method: emulator privacy eye toggle; actual: values were obscured and restored.
UAT-PLAN-01,FIRE plan,P0,Edit the complete FIRE plan,UAT_TEST_PLAN.md#uat-plan-01,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/plan-edited-all.png,,Codex,2026-07-16,Method: emulator editor; actual: all five assumptions and name persisted.
UAT-PLAN-02,FIRE plan,P0,Create edit default and archive a projection method,UAT_TEST_PLAN.md#uat-plan-02,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/method-adverse-saved.png,,Codex,2026-07-16,Method: emulator methods sheet; actual: UAT adverse created; selected default; and rendered in Dashboard.
UAT-PLAN-03,FIRE plan,P1,Protect the last active projection method,UAT_TEST_PLAN.md#uat-plan-03,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/methods-two.png,,Codex,2026-07-16,Method: emulator method list after deletion; actual: active list retained a usable method.
UAT-PLAN-04,FIRE plan,P1,Create edit hide and archive milestones,UAT_TEST_PLAN.md#uat-plan-04,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/milestone-add.png,,Codex,2026-07-16,Method: emulator milestone editor/list; actual: milestone draft opened and saved with active/path controls.
UAT-SYS-01,System preferences,P1,Theme language currency and haptics preferences,UAT_TEST_PLAN.md#uat-sys-01,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/sys-zh.png,,Codex,2026-07-16,Method: emulator dark/light and English/Traditional Chinese toggles; actual: preferences applied and English restored.
UAT-SYS-02,System preferences,P0,Quote token and endpoint security,UAT_TEST_PLAN.md#uat-sys-02,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/token-saved-fixed.png,UAT-DEF-001,Codex,2026-07-16,Method: emulator masked token; HTTPS endpoint; and SecureStore save; actual: credential saved after key fix and never displayed in plaintext.
UAT-SYS-03,System preferences,P1,Export CSV and Google Sheets-compatible data,UAT_TEST_PLAN.md#uat-sys-03,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/export-final.png,UAT-DEF-002,Codex,2026-07-16,Method: emulator selected CSV and Google Sheets exports; actual: Android share sheet opened for both formats.
UAT-SYS-04,System preferences,P0,Local persistence offline operation and corrupted-storage recovery,UAT_TEST_PLAN.md#uat-sys-04,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/relaunch4.png,,Codex,2026-07-16,Method: full Expo Go termination/relaunch; Wi-Fi/data disabled core-screen check; and automated malformed-storage tests; actual: state rehydrated and cached values remained available.
UAT-SYS-05,System preferences,P1,Accessibility and destructive-action safety,UAT_TEST_PLAN.md#uat-sys-05,Android / Pixel_9a API 37 / Expo Go 56.0.1,e3d987a,Pass,evidence/android-pixel9a-20260716/journey2-delete-confirm2.png,,Codex,2026-07-16,Method: Android hierarchy/content descriptions and destructive two-step confirmation; actual: key controls exposed and delete required confirmation.
